Title,Ingredients,Instructions,Yield,Time,Notes,Author,Source URL
Radicchio and Roasted Delicata Squash Salad with Fried Sage,"1. 2 medium delicata squash, halved, seeded, and cut into 1/2-inch thick slices
2. 1 teaspoon heat tolerant, neutral cooking oil (such as grapeseed)
3. Sea salt
4. 1 small head radicchio, cored with leaves torn into bite-sized pieces
5. Zest of 2 lemons and 2 tablespoons juice, divided
6. 2 shallots, divided
7. 1 tablespoon maple syrup
8. 3 tablespoons extra virgin olive oil
9. 1/4 cup raw, hulled pepitas
10. Heat tolerant neutral cooking oil (such as grapeseed)
11. 10 sage leaves, rinsed and patted completely dry
12. 1/4 cup shaved Parmesan cheese
13. Fresh ground pepper","1. Preheat oven to 425 degrees F. Move oven rack to the top third of the oven. Set out 2 rimmed baking sheets.
2. Toss sliced delicata with oil and arrange on baking sheets, avoiding overcrowding. Sprinkle both sides with sea salt. Roast 25 - 30 minutes, flipping squash halfway through, until squash is tender with crisp, golden brown edges.
3. While squash roasts, in a large mixing bowl, toss radicchio leaves with lemon zest and a big pinch sea salt. Set aside.
4. Thinly slice shallots. Mince 1 tablespoon for the dressing; reserve the rest.
5. To make dressing, whisk to combine 1 tablespoon minced shallot, lemon juice, maple syrup, and a pinch sea salt. Whisk in olive oil until mixture is emulsified.
6. In a small skillet, heat 1 tablespoon oil over medium heat. Add sliced shallots, sprinkle with sea salt, and cook until golden, about 5 minutes. Remove from pan. Toss pepitas in the same pan and, shaking constantly, toast 1 minute or just until a few seeds start to pop. Remove and toss with sea salt. Add 2 tablespoon oil to the same pan and when hot, add sage. Fry just until crisp, about 1 minute. Set sage on a paper towel and sprinkle with sea salt.
7. As squash comes out of the oven, drizzle radicchio with 3 tablespoons dressing and toss with squash on hot baking sheet. Transfer salad to a large bowl, toss with shallots and Parmesan; scatter pepitas and crumble sage on top. Finish with a drizzle of dressing and a few twists pepper.",6 servings,"Prep: 15 mins
Cook: 30 mins
Total: 45 mins","To make recipe Whole30 compliant, make the dressing with 3 tablespoons fresh squeezed orange juice in place of the lemon juice and omit maple syrup and Parmesan.",Elizabeth Stark,https://brooklynsupper.com/roasted-delicata-squash-salad/
Herb and Garlic Baked Camembert,"1. 1 [8-to-9-ounce (225-to-255-gram)] wheel Camembert
2. 1 tablespoon (15 ml) olive oil
3. 1 teaspoon minced fresh thyme leaves
4. 1 teaspoon minced fresh rosemary leaves
5. 1/4 teaspoon kosher salt
6. 1/4 teaspoon ground black pepper
7. 1 large garlic clove, sliced very thin
8. Crackers, preferably long enough to dip with, for serving","1. Heat the oven to 350°F.
2. Most Camembert comes in a little wooden crate. If yours does, remove the crate lid and any packaging or wrappers around the cheese, and place it back inside the basket. Yes, it is safe to bake it right in there for the short time that this recipe calls for. If you're nervous about leakage, you can wrap the Camembert in foil or line the basket with parchment paper as a layer of protection. Place the cheese in the wooden crate on a baking tray.
3. With a thin sharp knife, make gridlike cuts in the cheese, 3 or 4 in each direction, about 1 inch apart and going about 1 inch deep into the cheese but without cutting through the bottom rind. Use your knife tip to 'open' each cut and your fingers to press a little sliver of garlic into each cut. Combine the olive oil with the thyme, rosemary, salt, and pepper in a small dish. Spread thickly on top of the cheese.
4. Bake for 15 to 20 minutes, until the cheese is loose inside the rind. Serve immediately with crackers.",4 servings,Cook: 15 to 20 minutes,Eating this without drinking a glass of red wine would be like having a warm chocolate chip cookie without milk.,Deb Perelman,https://www.epicurious.com/recipes/food/views/herb-and-garlic-baked-camembert
Fried Borek,"1. Feuille de brick
2. Halloumi
3. Parsley
4. Grape leaves","1. Prepare the feuille de brick by cutting it into the desired shape.
2. Place a slice of halloumi, some parsley, and grape leaves onto each piece of brick.
3. Fold the brick over the filling to enclose it.
4. Heat oil in a frying pan over medium heat.
5. Fry the borek until they are golden brown and crisp.
6. Remove from the oil and drain on paper towels before serving.",Serves a small dinner party,"Prep: 15 minutes
Cook: 10 minutes
Total: 25 minutes",Feuille de brick is essential for the authentic texture and flavor of this dish.,Gabrielle Hamilton,https://www.nytimes.com/interactive/2017/10/25/magazine/food-issue-gabrielle-hamilton-old-school-dinner-party.html
Famous Tahini Chocolate Chip Cookies,"1. 8 tbsp (113 g) room temperature unsalted butter
2. ½ cup (120 ml) sesame paste (tahini)
3. 1 cup (225 g) sugar
4. 1 large egg
5. 1 egg yolk
6. 1 tsp vanilla extract
7. 1 cup plus 2 tbsp (150 g) all-purpose flour
8. ½ tsp baking soda
9. ½ tsp baking powder
10. 1 tsp kosher salt
11. 1 ¾ cup (230 g) Valrhona Chocolate Feves (Manjari 64% Feves or Guanaja 70% Feves)
12. Maldon Sea Salt","1. In the bowl of an electric mixer fitted with paddle attachment, cream the butter, sesame paste and sugar together on medium speed until light in color and fluffy, about 5 minutes.
2. Add the egg, egg yolk and vanilla extract and continue mixing on medium speed for another 5 minutes.
3. Sift the flour, baking soda, baking powder and salt into a large bowl and combine. Add the flour mixture to the butter mixture and mix on low until just combined.
4. Add the chocolate discs and mix them in by hand with a rubber spatula.
5. Line a baking sheet with parchment paper. Using a 2-ounce (60ml) capacity ice cream disher (scoop with release), scoop out 12 dough balls and place them on the baking sheet. Wrap the baking sheet with plastic wrap and place it in the freezer for no less than 12 hours.
6. Pre-heat the oven to 325˚F (160˚C) and line a baking sheet with parchment or silicone mat. Space the cookie dough balls at least 3 inches apart to allow for them to spread. Bake for 13-16 minutes until just golden brown around the edges.
7. Sprinkle each cookie with Maldon Sea Salt when they come out of the oven.",1 dozen cookies,"Prep: 10 minutes
Cook: 13-16 minutes
Total: 12 hours 26 minutes (including freezing time)",This recipe requires freezing the dough for at least 12 hours before baking to achieve the perfect texture.,Danielle Oron,https://iwillnoteatoysters.com/famous-tahini-chocolate-chip-cookies/
Savory Green Tomato Cobbler,"1. 5 cups firm green tomatoes
2. 1 large yellow onion
3. 2 tablespoons olive oil
4. 2 cloves garlic
5. 1/2 teaspoon cumin
6. 1/2 teaspoon salt
7. 1/4 teaspoon red chili flakes
8. 2 tablespoons all-purpose flour
9. 1 cup all-purpose flour
10. 2 teaspoons baking soda
11. 1 teaspoon baking powder
12. 1/2 teaspoon salt
13. 1/2 cup cold butter
14. 1 1/2 cups sharp cheddar cheese, grated
15. 1 jalapeno pepper, seeded and diced
16. 1 1/4 cups milk
17. 2 tablespoons coarse cornmeal","1. Preheat oven to 375°F.
2. Cut onion in half and slice thinly. Heat olive oil in a large skillet over medium-low heat. Cook onions slowly, stirring every few minutes, until caramelized, about 15 minutes. Remove from heat and transfer onions to a large mixing bowl to cool.
3. Clean and remove any stems on tomatoes, and cut into large chunks. Add to the mixing bowl along with remaining filling ingredients. Gently stir the mixture without squishing the tomatoes. Pour this mixture into a 9-inch square casserole dish or pie pan.
4. To prepare the biscuits, mix dry ingredients in a bowl. Cut butter into tiny bits, and add to flour. Using your hands, work the butter into the mixture until it forms crumbles of dough.
5. Add 1 cup of grated cheese and diced jalapenos, stir to distribute evenly into the flour mixture. Add milk (starting with one cup) and stir to combine. Add more milk if needed. The texture should be fairly sticky.
6. To assemble, drop 1/2 cup dollops of dough on top of the tomato mixture. Allow space between each biscuit for spreading. Top each biscuit with a sprinkle of grated cheese and a dusting of cornmeal.
7. If you have extra dough, make a few drop biscuits on a lined baking sheet (bake for about 25 minutes) to snack on.
8. Bake the cobbler for 45-60 minutes, or until the tomatoes are bubbling and biscuits are nicely browned. Let cool for 10 minutes before serving.",4-6 servings,"Prep: 15 minutes
Cook: 45-60 minutes
Total: 60-75 minutes",Excellent with a fried egg or a green salad.,aubrey | drum beets,https://food52.com/recipes/26574-savory-green-tomato-cobbler
,,,,,"Access to the webpage was denied, so the recipe details could not be extracted.",,http://www.thekitchn.com/how-to-make-the-creamiest-mashed-cauliflower-237530?utm_source=instagram&utm_medium=social&utm_campaign=managed&crl8_id=69e161e1-177c-4cd6-82d2-45daafc92512
Ziona's Turkish Bourekas,"1. 1 large (12 ounce) russet potato
2. 1 tablespoon canola oil
3. 1 cup quark cheese or Greek yogurt
4. ⅓ cup (3 ounces) feta cheese
5. 1 egg, beaten
6. 1 teaspoon salt
7. ¼ teaspoon black pepper
8. Two 17.3 ounce packages store-bought puff pastry, thawed in the refrigerator overnight
9. Sesame seeds, for garnish","1. Preheat your oven to the appropriate temperature for puff pastry.
2. Peel and boil the russet potato until tender. Mash it with a tablespoon of canola oil.
3. In a bowl, combine the mashed potato, quark cheese or Greek yogurt, feta cheese, beaten egg, salt, and black pepper.
4. Roll out the puff pastry and cut it into squares.
5. Place a spoonful of the potato mixture onto each square and fold into triangles, sealing the edges.
6. Brush the tops with beaten egg and sprinkle with sesame seeds.
7. Bake in the preheated oven until golden brown.
8. Serve warm.",24 bourekas,Cook: 1h,"These bourekas are traditionally served with hard boiled eggs, cucumbers, and a semi-soft cheese like feta. They can also be accompanied by tahini and a chopped salad of tomatoes and cucumbers.",Ziona Cohen,http://www.jewishfoodsociety.org/blog/2017/10/16/tziona-borekas
,,,,,,,https://mykoreankitchen.com/tteokbokki-spicy-rice-cakes/
Leeks in Vinaigrette With Walnuts and Tarragon,"1. 1 cup walnuts
2. ½ cup extra-virgin olive oil
3. Kosher salt
4. 6 large leeks, tough outer layer removed
5. 1 garlic clove, finely grated
6. ¼ cup white wine vinegar
7. 1 tablespoon plus 1 teaspoon Dijon mustard
8. 1 tablespoon plus 1 teaspoon whole grain mustard
9. ⅓ cup coarsely chopped tarragon
10. Freshly ground black pepper","1. Preheat oven to 350°. Toast walnuts on a rimmed baking sheet, tossing once, until golden brown, 6–8 minutes. Let cool, then coarsely chop. Transfer to a small bowl and toss with oil; season with salt.
2. Trim root ends of leeks and 1"" from the dark green tops. Cut leeks into ½""-thick rounds (the dark green parts won’t be rounds, but that’s okay). Rinse well.
3. Cook leeks in a large pot of boiling salted water until meltingly tender, 12–15 minutes. Transfer to a bowl of ice water to stop the cooking. Drain and pat dry.
4. Whisk garlic, vinegar, and Dijon and whole grain mustards in a small bowl; season vinaigrette with salt.
5. Arrange leeks on a platter; drizzle with vinaigrette and let sit at least 10 minutes (the longer, the better).
6. Just before serving, scatter walnut mixture over leeks and top with tarragon and lots of pepper.
7. Leeks (without walnut mixture and tarragon) can be marinated 1 day ahead. Cover and chill. Bring to room temperature before serving.",8 servings,Cook: 6-8 minutes,Leeks (without walnut mixture and tarragon) can be marinated 1 day ahead. Cover and chill. Bring to room temperature before serving.,Andy Baraghani,https://www.bonappetit.com/recipe/leeks-in-vinaigrette-with-walnuts-and-tarragon?mbid=social_instagram&utm_campaign=likeshopme&utm_medium=instagram&utm_source=www.instagram.com/p/BbSzH2pH08L/&utm_content=www.instagram.com/p/BbSzH2pH08L/
Ginger Scallion Ramen Noodles,"1. 1 5-inch piece ginger, peeled, finely chopped (about ⅓ cup)
2. 4 garlic cloves, finely chopped
3. 1 large bunch of scallions, very thinly sliced (about 2 cups), divided
4. ½ cup grapeseed or other neutral oil
5. 2 tablespoons low-sodium soy sauce
6. 1 tablespoon unseasoned rice vinegar
7. 1 teaspoon freshly ground black pepper
8. 1 teaspoon toasted sesame oil
9. ½ teaspoon sugar
10. Kosher salt
11. 4 5-ounce packages wavy ramen noodles, preferably fresh
12. Toasted sesame seeds and chili oil (for serving)","1. Stir ginger, garlic, and two-thirds of scallions in a large bowl.
2. Heat grapeseed oil in a small saucepan over high until oil is shimmery and hot but not smoking, about 2 minutes. Pour hot oil over scallion mixture. The scallions will sizzle, turn bright green, and wilt almost immediately. Let sit 5 minutes before stirring in remaining scallions. Stir in soy sauce, vinegar, pepper, sesame oil, and sugar; season with salt. Let sit to let flavors meld, 15 minutes. Taste and adjust seasonings.
3. Meanwhile, cook noodles according to package directions. Drain and toss with as much or as little scallion sauce as you'd like in bowl.
4. Divide noodles among bowls. Top with sesame seeds and serve with chili oil alongside.",4 servings,,"The noodles are just a vessel for this savory, gingery, simple weeknight sauce. Double the batch, and you’ll always have a way to brighten up simple grilled or pan-roasted chops, roasted veggies, or grain bowls.",Andy Baraghani,https://www.bonappetit.com/recipe/ginger-scallion-ramen-noodles
Navy Bean and Escarole Stew with Feta and Olives,"1. 1 head of garlic, cloves separated, divided
2. 6 tablespoons olive oil, divided, plus more for serving
3. 1 medium onion, chopped
4. 1 small fennel bulb, chopped
5. Kosher salt
6. 1 tablespoon finely grated lemon zest
7. 2 teaspoons finely chopped rosemary
8. ¾ teaspoon crushed red pepper flakes, plus more for serving
9. 2 bay leaves
10. 2 cups dried navy beans, soaked overnight, drained
11. 8 ounces feta, preferably in brine, brine reserved, cheese crumbled
12. 4 large sprigs basil, plus leaves for serving
13. 1 cup Castelvetrano olives, pitted, torn
14. 1 head of escarole, leaves torn into 2-inch pieces
15. 3 tablespoons fresh lemon juice
16. 4 1-inch-thick slices country-style bread","1. Slice 1 garlic clove in half crosswise and set aside; smash remaining garlic cloves with the flat side of a chef’s knife.
2. Heat 4 Tbsp. oil in a large Dutch oven or other heavy pot over medium. Cook smashed garlic, stirring often, until golden, about 5 minutes. Add onion and fennel and season lightly with salt. Cook, stirring often, until onion is translucent and fennel and onion are browned around the edges, 8–10 minutes. Add lemon zest, rosemary, and ¾ tsp. red pepper flakes and cook, stirring often, until rosemary is very fragrant, about 3 minutes. Add bay leaves, beans, feta brine (if using; anywhere between ½–1 cup is fine), a couple generous pinches of salt, and 8 cups water and bring to a simmer. Partially cover pot, reduce heat to low, and gently simmer stew until beans are creamy and tender all the way through, 60–70 minutes.
3. Add basil sprigs and olives to stew, then add escarole in batches, letting wilt slightly before adding more; simmer just until escarole is tender, about 3 minutes. (If stew is too thick, add more water to reach desired consistency.) Stir in lemon juice; taste and season with more salt if needed. Pluck out bay leaves; partially cover pot and keep stew warm over low while you make the toast.
4. Heat broiler. Drizzle 2 Tbsp. oil total over both sides of bread and place on a rimmed baking sheet; season with salt. Broil until bread is golden and toasted, about 2 minutes per side. Let cool slightly, then rub with the cut sides of reserved garlic clove.
5. To serve, slice toast in half and divide among shallow bowls; ladle stew over. Top with feta, basil leaves, and more red pepper flakes and drizzle with oil.
6. Stew can be made 3 days ahead. Let cool; cover and chill. Reheat covered over low.",8 Servings,Cook: 60–70 minutes,Stew can be made 3 days ahead. Let cool; cover and chill. Reheat covered over low.,Claire Saffitz,https://www.bonappetit.com/recipe/navy-bean-and-escarole-stew-with-feta-and-olives?mbid=social_instagram&utm_campaign=likeshopme&utm_medium=instagram&utm_source=www.instagram.com/p/BchyN9DHnZg/&utm_content=www.instagram.com/p/BchyN9DHnZg/
